Shale_play,total_weighted_flow,median_flow,TDS_combined,Ag,Al,As,Au,B,BO3,Ba,Be,Bi,Br,CO3,HCO3,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,FeTot,FeIII,FeII,FeS,FeAl,FeAl2O3,Hg,I,K,KNa,Li,Mg,Mn,Mo,N,NO2,NO3,NO3NO2,NH4,TKN,Na,Ni,OH,P,PO4,Pb,Rh,Rb,S,SO3,SO4,HS,Sb,Sc,Se,Si,Sn,Sr,Ti,Tl,U,V,W,Zn,ALKHCO3,ACIDITY,DIC,DOC,TOC,CN,BOD,COD,BENZENE,TOLUENE,ETHYLBENZ,XYLENE,ACETATE,BUTYRATE,FORMATE,LACTATE,PHENOLS,PERC,PROPIONATE,PYRUVATE,VALERATE,ORGACIDS,Ar,CH4,C2H6,CO2,H2,H2S,He,N2,NH3,O2,ALPHA,BETA,dD,H3,d7Li,d11B,d13C,C14,d18O,d34S,d37Cl,K40,d81Br,Sr87Sr86,I129,Rn222,Ra226,Ra228
ANADARKO,0.7789141128411665,0.009421930631511309,17389.0,,,,,18.0,18.0,4.0,,,420.42,47.28,927.0,72.0,,9500.0,,,0.055,37.0,,21.5,1.0,418.0,,,58.04,,93.5,188.615,47389.16,5.0,22.0,22.88,,,,,,223.0,,6383.0,,6.3100000000000005,,,,,0.31,624.0,,85.0,,,,,35.54,,310.0,,,,,,,,,,,240.0,,,,,,,,1558.341382,,,,,,,,,,,,,330.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
APPALACHIAN,1.656138342608881,0.015244746139414667,140848.5,0.05,0.458,0.1,,12.7,24.0,367.0,0.04,,731.66128,22.71,52.212,11995.0,0.05,84501.466,0.5,0.05,0.2965,0.25,1.2,40.8,,,,,,0.0002,10.0,312.1,,47.25,1609.0,5.75,0.185,,2.5,2.5,0.33,64.8,71.7,34000.0,0.2625,,,0.14,0.03,,0.9135,3.0,11.6,101.5,,0.1,,0.05,9.9,1.0,720.85,0.25,0.1,,,,0.575,107.71762985000001,5.0,,111.5,112.5,10.0,121.0,2980.0,,0.0011,,0.0213,5.58,,1.8900000000000001,0.34,0.02,0.0117,0.165,0.16,,2.3649999999999998,,,,154.136725,,,,,,0.6,5135.0,2033.5,-39.7,,,,2.0,,-2.39,-12.33,,,,0.718347,155.0,,1247.0,56.48
ARDMORE,0.09982529852664772,0.17860013816706918,104293.0,,,,,148.815,,160.59,,,242.695,540.0,175.38,4796.5,,63477.75,,,,,,,,,,,,,17.0,280.135,,17.97,1573.385,,,,,,,,,29698.94,,194.0,,,,,,,,1100.0,,,,,,,205.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKOMA,0.018479435861790655,0.0008767757483510909,63146.0,,,,,7.035,,4.5,,,179.0,,156.93,3285.5,,39381.29,,,,,,10.0,,,,,,,15.23,326.0,,6.545,1481.77,2.0,,,,,,,,17298.385000000002,,,,,,,,,,93.695,,,,,22.0,,44.0,,,,,,,,,1334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,,28.4,-7.3,,-1.0,,,,,0.709365,,,142.0,26.0
BIGHORN,21.4296892546031,3.5112920154743783,5411.0,,,0.005,,8.06,,0.11,,,42.754999999999995,76.0,1290.7,53.0,,460.0,,0.02,,,,0.595,,2.0,,,,,4.03,39.0,,3.0,17.12,,,,,,,,,1518.09,,,,,0.02,,,,,923.6,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.15,,,,,,,,,,,,,,,,,,,,,,
BLACK WARRIOR,0.4698233544182701,0.014815358411248822,3890.0,0.001,0.16,0.0035,,0.92,,0.004,,,122.0,28.0,630.0,22.5,0.001,1600.0,,0.003,,,2.75,2.2,,,,,,0.000245,9.6,2.75,,0.39,10.0,0.08,,,,2.765,,1.8,,1410.0,0.005,,,2667.58,0.009,,,,,6.0,,,,0.01,8.8,,1.2,,,,0.005,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.555,,,,,,,,,,,,,,,,,,,
CHEROKEE PLATFORM,,,166000.0,,0.3,,,6.0,,42.0,,,228.0,20.345000000000002,80.075,9600.0,,102000.0,,,0.135,,,28.0,,,,,126.065,,6.9,288.435,38126.0,11.0,2122.01,6.0,,,,,,78.0,,49500.0,,,,,,,2.1,1.0,,146.7,,,,,32.415,,419.095,,,,,,,,,,3.5,592.5,,,,,,,,1.45,,,,0.11499999999999999,,,,,,,,,89.5,,5.0,,,,,,,-11.8,,,,,,-2.745,,,,,,,,,
DENVER,4.137149338958399,0.09771526418786693,8114.5,,,,,13.585,,2.0149999999999997,,,50.535,96.0,1447.73,22.0,,3330.0,,,,,,0.3355,1.0,24.5,,,,,2.02,20.25,,3.0,9.04,,,,,,,,,2900.0,,,,,,,,,,282.5,,,,,42.0,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORT WORTH,6.127514835139061,0.11838753136888794,159341.0,,,,,9.175,,23.0,,,302.63,30.86,60.35,11335.0,,98127.8,,,,,,116.39,29.5,93.0,,,438.06,,13.0,443.33000000000004,,7.0,1898.75,35.42,,,,,,32.0,,45936.07,,744.7,,,,,,,,463.49,,,,,316.685,,318.0,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,6.64,,,,,,,,,,,,,,,,,,,,,,,,
GREATER GREEN RIVER,4.941986293313188,0.028008126766688412,7970.0,,1.588422131,0.00485,,11.0,24.4,5.0,,,51.363645,96.0,1186.5,40.0,0.04,3433.785,,0.021,0.08,,,11.0,1.0,29.0,,,10.1,0.01,2.0300000000000002,36.0,8314.0,2.0,6.279999999999999,37.33,,,,,,27.0,,2540.0,,51.0,,,0.036,,0.1033237555,,,27.3,2.015,,,0.04,60.46183395,,9.575,,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,-41.8,,,,,,-3.74,,,,,0.719971,,,0.8495,
